county,city,vac_info_type,n
Alameda,Alameda,7thGradeData,1057.0
Alameda,Alameda,ChildCareData,994.0
Alameda,Alameda,KindergartenData,877.0
Alameda,Albany,7thGradeData,298.0
Alameda,Albany,ChildCareData,215.0
Alameda,Albany,KindergartenData,293.0
Alameda,Berkeley,7thGradeData,903.0
Alameda,Berkeley,ChildCareData,2379.0
Alameda,Berkeley,KindergartenData,857.0
Alameda,Castro Valley,7thGradeData,749.0
Alameda,Castro Valley,ChildCareData,597.0
Alameda,Castro Valley,KindergartenData,640.0
Alameda,Dublin,7thGradeData,637.0
Alameda,Dublin,ChildCareData,1057.0
Alameda,Dublin,KindergartenData,826.0
Alameda,Emeryville,7thGradeData,33.0
Alameda,Emeryville,ChildCareData,68.0
Alameda,Emeryville,KindergartenData,38.0
Alameda,Fremont,7thGradeData,2867.0
Alameda,Fremont,ChildCareData,3569.0
Alameda,Fremont,KindergartenData,2992.0
Alameda,Hayward,7thGradeData,1608.0
Alameda,Hayward,ChildCareData,1785.0
Alameda,Hayward,KindergartenData,2003.0
Alameda,Livermore,7thGradeData,1107.0
Alameda,Livermore,ChildCareData,1203.0
Alameda,Livermore,KindergartenData,1138.0
Alameda,Newark,7thGradeData,631.0
Alameda,Newark,ChildCareData,785.0
Alameda,Newark,KindergartenData,769.0
Alameda,Oakland,7thGradeData,4066.0
Alameda,Oakland,ChildCareData,4852.0
Alameda,Oakland,KindergartenData,4079.0
Alameda,Piedmont,7thGradeData,221.0
Alameda,Piedmont,ChildCareData,94.0
Alameda,Piedmont,KindergartenData,184.0
Alameda,Pleasanton,7thGradeData,1177.0
Alameda,Pleasanton,ChildCareData,1567.0
Alameda,Pleasanton,KindergartenData,136.0
Alameda,San Leandro,7thGradeData,1701.0
Alameda,San Leandro,ChildCareData,770.0
Alameda,San Leandro,KindergartenData,896.0
Alameda,San Lorenzo,7thGradeData,711.0
Alameda,San Lorenzo,ChildCareData,304.0
Alameda,San Lorenzo,KindergartenData,827.0
Alameda,Sunol,7thGradeData,21.0
Alameda,Sunol,ChildCareData,19.0
Alameda,Union City,7thGradeData,1031.0
Alameda,Union City,ChildCareData,603.0
Alameda,Union City,KindergartenData,878.0
Alpine,Markleeville,ChildCareData,13.0
Alpine,Markleeville,KindergartenData,16.0
Amador,Ione,ChildCareData,36.0
Amador,Ione,KindergartenData,68.0
Amador,Jackson,7thGradeData,328.0
Amador,Jackson,ChildCareData,73.0
Amador,Jackson,KindergartenData,65.0
Amador,Pine Grove,ChildCareData,28.0
Amador,Pine Grove,KindergartenData,51.0
Amador,Pioneer,ChildCareData,40.0
Amador,Plymouth,ChildCareData,46.0
Amador,Plymouth,KindergartenData,31.0
Amador,Sutter Creek,KindergartenData,41.0
Butte,Bangor,7thGradeData,15.0
Butte,Bangor,ChildCareData,10.0
Butte,Bangor,KindergartenData,9.0
Butte,Biggs,7thGradeData,39.0
Butte,Biggs,ChildCareData,14.0
Butte,Biggs,KindergartenData,35.0
Butte,Chico,7thGradeData,1040.0
Butte,Chico,ChildCareData,1329.0
Butte,Chico,KindergartenData,1086.0
Butte,Durham,7thGradeData,63.0
Butte,Durham,ChildCareData,18.0
Butte,Durham,KindergartenData,56.0
Butte,Forest Ranch,KindergartenData,16.0
Butte,Gridley,7thGradeData,167.0
Butte,Gridley,ChildCareData,146.0
Butte,Gridley,KindergartenData,194.0
Butte,Magalia,7thGradeData,64.0
Butte,Magalia,ChildCareData,44.0
Butte,Magalia,KindergartenData,75.0
Butte,Oroville,7thGradeData,442.0
Butte,Oroville,ChildCareData,623.0
Butte,Oroville,KindergartenData,682.0
Butte,Palermo,7thGradeData,132.0
Butte,Palermo,ChildCareData,69.0
Butte,Paradise,7thGradeData,241.0
Butte,Paradise,ChildCareData,228.0
Butte,Paradise,KindergartenData,221.0
Calaveras,Angels,7thGradeData,84.0
Calaveras,Angels,ChildCareData,32.0
Calaveras,Angels,KindergartenData,51.0
Calaveras,Arnold,ChildCareData,7.0
Calaveras,Arnold,KindergartenData,22.0
Calaveras,Avery,7thGradeData,73.0
Calaveras,Copperopolis,ChildCareData,26.0
Calaveras,Copperopolis,KindergartenData,39.0
Calaveras,Mokelumne Hill,KindergartenData,9.0
Calaveras,Murphys,ChildCareData,26.0
Calaveras,Murphys,KindergartenData,38.0
Calaveras,Rail Road Flat,KindergartenData,10.0
