county,city,vac_info_type,pct
Alameda,Alameda,7thGradeData,96.72666666666666
Alameda,Alameda,ChildCareData,95.7752
Alameda,Alameda,KindergartenData,93.60466666666667
Alameda,Albany,7thGradeData,89.34
Alameda,Albany,ChildCareData,96.39
Alameda,Albany,KindergartenData,76.23333333333333
Alameda,Berkeley,7thGradeData,99.55799999999999
Alameda,Berkeley,ChildCareData,91.12722222222224
Alameda,Berkeley,KindergartenData,82.01374999999999
Alameda,Castro Valley,7thGradeData,99.93333333333334
Alameda,Castro Valley,ChildCareData,97.38923076923078
Alameda,Castro Valley,KindergartenData,97.68333333333334
Alameda,Dublin,7thGradeData,97.628
Alameda,Dublin,ChildCareData,96.0145
Alameda,Dublin,KindergartenData,95.92000000000002
Alameda,Emeryville,7thGradeData,100.0
Alameda,Emeryville,ChildCareData,85.4025
Alameda,Emeryville,KindergartenData,54.84
Alameda,Fremont,7thGradeData,91.86933333333333
Alameda,Fremont,ChildCareData,93.13507936507933
Alameda,Fremont,KindergartenData,96.94184210526316
Alameda,Hayward,7thGradeData,99.83666666666666
Alameda,Hayward,ChildCareData,94.21275
Alameda,Hayward,KindergartenData,95.26275862068965
Alameda,Livermore,7thGradeData,93.2575
Alameda,Livermore,ChildCareData,94.16916666666667
Alameda,Livermore,KindergartenData,94.29214285714285
Alameda,Newark,7thGradeData,99.85000000000001
Alameda,Newark,ChildCareData,98.29066666666667
Alameda,Newark,KindergartenData,94.48666666666666
Alameda,Oakland,7thGradeData,98.2156862745098
Alameda,Oakland,ChildCareData,93.30504201680672
Alameda,Oakland,KindergartenData,83.82836956521736
Alameda,Piedmont,7thGradeData,99.745
Alameda,Piedmont,ChildCareData,93.225
Alameda,Piedmont,KindergartenData,97.14750000000001
Alameda,Pleasanton,7thGradeData,99.0
Alameda,Pleasanton,ChildCareData,98.02190476190476
Alameda,Pleasanton,KindergartenData,96.72900000000001
Alameda,Richmond,7thGradeData,76.47
Alameda,Richmond,KindergartenData,63.64
Alameda,San Leandro,7thGradeData,95.56714285714285
Alameda,San Leandro,ChildCareData,93.41136363636365
Alameda,San Leandro,KindergartenData,96.365
Alameda,San Lorenzo,7thGradeData,98.80833333333334
Alameda,San Lorenzo,ChildCareData,96.24375
Alameda,San Lorenzo,KindergartenData,95.18833333333333
Alameda,Sunol,7thGradeData,97.06
