county,city,vac_info_type,n
Alameda,Alameda,7thGradeData,5712.0
Alameda,Alameda,ChildCareData,995.0
Alameda,Alameda,KindergartenData,704.0
Alameda,Albany,7thGradeData,1835.0
Alameda,Albany,ChildCareData,155.0
Alameda,Albany,KindergartenData,257.0
Alameda,Berkeley,7thGradeData,5807.0
Alameda,Berkeley,ChildCareData,2336.0
Alameda,Berkeley,KindergartenData,815.0
Alameda,Castro Valley,7thGradeData,4539.0
Alameda,Castro Valley,ChildCareData,757.0
Alameda,Castro Valley,KindergartenData,661.0
Alameda,Dublin,7thGradeData,3302.0
Alameda,Dublin,ChildCareData,1003.0
Alameda,Dublin,KindergartenData,732.0
Alameda,Emeryville,7thGradeData,312.0
Alameda,Emeryville,ChildCareData,152.0
Alameda,Emeryville,KindergartenData,33.0
Alameda,Fremont,7thGradeData,15830.0
Alameda,Fremont,ChildCareData,3436.0
Alameda,Fremont,KindergartenData,2773.0
Alameda,Hayward,7thGradeData,11018.0
Alameda,Hayward,ChildCareData,1944.0
Alameda,Hayward,KindergartenData,2036.0
Alameda,Livermore,7thGradeData,6557.0
Alameda,Livermore,ChildCareData,1260.0
Alameda,Livermore,KindergartenData,1138.0
Alameda,Newark,7thGradeData,3656.0
Alameda,Newark,ChildCareData,937.0
Alameda,Newark,KindergartenData,834.0
Alameda,Oakland,7thGradeData,22286.0
Alameda,Oakland,ChildCareData,4932.0
Alameda,Oakland,KindergartenData,4500.0
Alameda,Piedmont,7thGradeData,1303.0
Alameda,Piedmont,ChildCareData,93.0
Alameda,Piedmont,KindergartenData,192.0
Alameda,Pleasanton,7thGradeData,7107.0
Alameda,Pleasanton,ChildCareData,1401.0
Alameda,Pleasanton,KindergartenData,932.0
Alameda,San Leandro,7thGradeData,5145.0
Alameda,San Leandro,ChildCareData,830.0
Alameda,San Leandro,KindergartenData,906.0
Alameda,San Lorenzo,7thGradeData,5217.0
Alameda,San Lorenzo,ChildCareData,270.0
Alameda,San Lorenzo,KindergartenData,814.0
Alameda,Sunol,7thGradeData,56.0
Alameda,Sunol,ChildCareData,23.0
Alameda,Sunol,KindergartenData,20.0
Alameda,Union City,7thGradeData,6091.0
Alameda,Union City,ChildCareData,577.0
Alameda,Union City,KindergartenData,824.0
Alpine,Markleeville,7thGradeData,21.0
Alpine,Markleeville,ChildCareData,23.0
Alpine,Markleeville,KindergartenData,12.0
Amador,Ione,ChildCareData,50.0
Amador,Ione,KindergartenData,74.0
Amador,Jackson,7thGradeData,1159.0
Amador,Jackson,ChildCareData,64.0
Amador,Jackson,KindergartenData,82.0
Amador,Pine Grove,ChildCareData,43.0
Amador,Pine Grove,KindergartenData,52.0
Amador,Pioneer,ChildCareData,35.0
Amador,Plymouth,ChildCareData,50.0
Amador,Plymouth,KindergartenData,29.0
