"013420892","ALAMEDA","UNKNOWN","ALAMEDA","A.U.S.D. - WOODSTOCK C.D.C. - HAIGHT","",".",".","N","ChildCareData"
"013420589","ALAMEDA","PUBLIC","ALAMEDA","A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER","100.0","98","98","Y","ChildCareData"
"013422012","ALAMEDA","UNKNOWN","SAN LEANDRO","AB'S PRESCHOOL & DAYCARE","",".",".","N","ChildCareData"
"013419449","ALAMEDA","PRIVATE","FREMONT","ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON","55.0","--*","≥98%","Y","ChildCareData"
"013417471","ALAMEDA","PRIVATE","FREMONT","ABC MAGIC MOMENTS,INC. PRESCHOOL/CHILDCARE","28.0","--*","≥95%","Y","ChildCareData"
"013411388","ALAMEDA","PRIVATE","ALAMEDA","ABC PRESCHOOL","32.0","--*","≥95%","Y","ChildCareData"
"013421345","ALAMEDA","PRIVATE","CASTRO VALLEY","ABC PRESCHOOL & DAYCARE","47.0","--*","≥95%","Y","ChildCareData"
"013420975","ALAMEDA","PRIVATE","OAKLAND","ACADEMIA DE MI ABUELA","32.0","--*","≥95%","Y","ChildCareData"
"013415846","ALAMEDA","PRIVATE","OAKLAND","ACTS FULL GOSPEL CHRISTIAN ACADEMY","35.0","--*","≥95%","Y","ChildCareData"
"013417566","ALAMEDA","PRIVATE","OAKLAND","ADVANCE DAY CARE CENTER","68.0","--*","≥98%","Y","ChildCareData"
"013416177","ALAMEDA","PRIVATE","UNION CITY","ADVENTURE MONTESSORI ACADEMY AND SCHOOL","38.0","--*","≥95%","Y","ChildCareData"
"010206772","ALAMEDA","UNKNOWN","SAN LORENZO","ADVENTURE TIME - DEL REY","",".",".","N","ChildCareData"
"010205718","ALAMEDA","UNKNOWN","PLEASANTON","ADVENTURES IN LEARNING","",".",".","N","ChildCareData"
"010214883","ALAMEDA","HEAD START","ALAMEDA","ALAMEDA HEAD START - ANGELA AGUILAR CENTER","50.0","--*","≥98%","Y","ChildCareData"
"013417425","ALAMEDA","HEAD START","ALAMEDA","ALAMEDA HEAD START - SUE MATHESON CENTER","49.0","--*","≥95%","Y","ChildCareData"
